Symbol,Total_obs,Train_obs,Test_obs,Missing_before,Outliers_returns,Outliers_volume
AAPL,1255,1129,126,0,7,2
BTC-USD,1827,1644,183,0,26,9
CL=F,1260,1134,126,3,2,3
ETH-USD,1827,1644,183,0,18,12
GC=F,1260,1134,126,3,4,98
MSFT,1255,1129,126,0,8,15
NVDA,1255,1129,126,0,6,1
TSLA,1255,1129,126,0,5,4
^GSPC,1255,1129,126,0,7,17
^VIX,1304,1173,131,49,11,0
